5.332   1.003E-6
5.477   7.246E-7
5.626   5.07E-7
5.703   3.785E-7
5.858   3.016E-7
5.937   2.215E-7
6.099   1.525E-7
6.265   1.05E-7
6.523   7.839E-8
6.7     5.758E-8
6.791   4.029E-8
7.166   3.008E-8
7.461   2.139E-8
7.664   1.597E-8
7.979   1.293E-8
8.42    9.655E-9
8.885   7.209E-9
9.375   5.56E-9
10.03   4.288E-9
10.44   3.202E-9
11.16   2.51E-9
11.94   1.967E-9
12.6    1.517E-9
13.66   1.17E-9
15.21   9.025E-10
16.93   6.96E-10
19.11   5.456E-10
21.57   4.418E-10
25      3.578E-10
29.78   2.992E-10
34.06   2.628E-10
40.02   2.308E-10
46.39   2.163E-10
57.52   2.198E-10
69.42   2.271E-10
83.79   2.423E-10
103.9   2.671E-10
123.7   2.992E-10
145.4   3.353E-10
170.8   3.696E-10
195.4   4.14E-10
229.6   4.714E-10
269.7   5.545E-10
325.5   6.523E-10
387.7   7.673E-10
449.4   9.173E-10
557.2   1.079E-9
637.4   1.249E-9
769.3   1.517E-9
856.6   1.785E-9
993     1.999E-9
1183    2.39E-9
1408    2.766E-9
1700    3.529E-9
2107    4.084E-9
2544    5.21E-9
3070    5.933E-9
3607    7.209E-9
4296    8.759E-9
5048    1.047E-8
6011    1.232E-8
6968    1.426E-8
8188    1.623E-8
9365    1.879E-8
11000   2.21E-8
12930   2.642E-8
14990   3.057E-8
17850   3.655E-8
21260   4.23E-8
25660   5.396E-8
30150   6.245E-8
35900   7.346E-8
41060   8.502E-8
47600   1E-7
53720   1.196E-7
62280   1.339E-7
72200   1.525E-7
82580   1.794E-7
99680   2.145E-7
