 # generated with HiggsSignals version 2.0.0beta on 10.03.2017 at 16:17
 # settings: latestresults, effC, peak, gaussian
 #
 # column abbreviations
 #   n          : line id of input
 #   Mh(i)      : Neutral Higgs boson masses in GeV
 #   Mhplus(i)  : Charged Higgs boson masses in GeV
 #   csq(mu)    : Chi^2 from the signal strengths observables
 #   csq(mh)    : Chi^2 from the Higgs mass observables
 #   csq(tot)   : total Chi^2
 #   nobs(mu)   : number of signal strength observables
 #   nobs(mh)   : number of Higgs mass observables
 #   nobs(tot)  : total number of observables
#   Pvalue     : Probability, given csq(tot) and ndf=nobs(tot)-  0
 #   additional : optional additional data stored in <prefix>additional.dat (e.g. tan beta)
 #
 #cols:  n           Mh(1)           Mh(2)           Mh(3)       Mhplus(1)         csq(mu)         csq(mh)         csq(tot) nobs(mu) nobs(mh) nobs(tot)    Pvalue   additional(1)   additional(2)
 #
            40     94.1164         128.911         100.000         127.907         183.202         10.6890         193.891        85     4    89    0.915918E-09     100.000         7.00000    
            41     94.7263         128.370         100.000         127.956         183.648         9.74875         193.396        85     4    89    0.105167E-08     100.000         7.50000    
            42     95.2469         127.908         100.000         128.006         184.422         9.06070         193.483        85     4    89    0.102652E-08     100.000         8.00000    
            43     95.6946         127.511         100.000         128.057         185.437         8.55338         193.990        85     4    89    0.890836E-09     100.000         8.50000    
            44     96.0823         127.167         100.000         128.110         186.644         8.17717         194.821        85     4    89    0.705813E-09     100.000         9.00000    
            45     96.4202         126.868         100.000         128.165         188.053         7.89710         195.950        85     4    89    0.513825E-09     100.000         9.50000    
            46     96.7164         126.606         100.000         128.222         189.668         7.68818         197.356        85     4    89    0.345347E-09     100.000         10.0000    
            47     96.9774         126.376         100.000         128.281         191.488         7.53237         199.020        85     4    89    0.215201E-09     100.000         10.5000    
            48     97.2087         126.172         100.000         128.342         193.506         7.41648         200.923        85     4    89    0.124874E-09     100.000         11.0000    
            49     97.4145         125.991         100.000         128.404         195.711         7.33078         203.042        85     4    89    0.678015E-10     100.000         11.5000    
            50     97.5984         125.830         100.000         128.469         198.085         7.26802         205.353        85     4    89    0.346528E-10     100.000         12.0000    
            51     97.7634         125.685         100.000         128.536         200.608         7.22277         207.831        85     4    89    0.167750E-10     100.000         12.5000    
            52     97.9121         125.556         100.000         128.604         203.256         7.19092         210.446        85     4    89    0.775036E-11     100.000         13.0000    
            53     98.0464         125.439         100.000         128.675         206.003         7.16933         213.172        85     4    89    0.344247E-11     100.000         13.5000    
            54     98.1683         125.334         100.000         128.748         208.821         7.15562         215.977        85     4    89    0.148281E-11     100.000         14.0000    
            55     98.2792         125.238         100.000         128.823         211.684         7.14795         218.832        85     4    89    0.624611E-12     100.000         14.5000    
            56     98.3803         125.152         100.000         128.899         214.565         7.14488         221.709        85     4    89    0.259459E-12     100.000         15.0000    
            57     71.5167         163.416         110.000         134.301         222.812        0.533238E-20     222.812        85     4    89    0.184963E-12     110.000         1.50000    
            58     76.4544         154.925         110.000         134.924         223.020        0.654854E-20     223.020        85     4    89    0.173528E-12     110.000         2.00000    
            59     81.8384         149.153         110.000         135.220         218.486        0.772189E-20     218.486        85     4    89    0.693778E-12     110.000         2.50000    
            60     86.3223         144.928         110.000         135.390         198.188        0.100360E-19     198.188        85     4    89    0.272696E-09     110.000         3.00000    
            61     89.8792         141.714         110.000         135.501         197.890        0.685236E-20     197.890        85     4    89    0.296847E-09     110.000         3.50000    
            62     92.6965         139.227         110.000         135.581         208.467        0.562871E-20     208.467        85     4    89    0.139133E-10     110.000         4.00000    
            63     94.9525         137.244         110.000         135.646         204.095        0.400019E-20     204.095        85     4    89    0.499677E-10     110.000         4.50000    
